plate	sample	inferred_type	numAcquisitions	A_cleavage_1	SN_A_cleavage_1	A_cleavage_2	SN_A_cleavage_2	A_intact	SN_A_intact	B_cleavage_1	SN_B_cleavage_1	B_cleavage_2	SN_B_cleavage_2	B_intact	SN_B_intact	E_cleavage_1	SN_E_cleavage_1	E_cleavage_2	SN_E_cleavage_2	E_intact	SN_E_intact	F_cleavage_1	SN_F_cleavage_1	F_cleavage_2	SN_F_cleavage_2	F_intact	SN_F_intact	F5_cleavage_1	SN_F5_cleavage_1	F5_cleavage_2	SN_F5_cleavage_2	F5_intact	SN_F5_intact
164243	257	F	2	-1	-1	-1	-1	3289.3848299756814	1485.0787273893004	-1	-1	-1	-1	4027.5522541267887	398.94263291370146	-1	-1	-1	-1	3616.5288191314448	231.35754708464876	-1	-1	3787.8430933121917	15.400103450217136	-1	-1	-1	-1	-1	-1	5112.3154930833161	372.72785963228586
164243	425	A,B,F	2	-1	-1	2308.4184652238091	23.125015482862349	3289.155691934337	1866.7202134459062	1761.9878170587024	160.50744893037481	2286.0959970407516	197.48524221781187	4028.296524023066	390.16018517012287	-1	-1	-1	-1	3617.3717085913022	1016.9823255855264	-1	-1	3788.598451468049	20.720748533931786	-1	-1	-1	-1	-1	-1	5114.0325707491393	234.17195177683516
164243	449	A,B,F	2	-1	-1	2307.7633007160871	37.67414554297995	3287.8447683792142	824.4532433633442	1761.4925558643577	299.62141437181009	2285.5685423633836	504.60764728285483	4027.7242784939535	574.3297550231606	-1	-1	-1	-1	3616.4347251860718	718.85531206957194	-1	-1	3787.6054724509622	21.703304168626019	-1	-1	-1	-1	-1	-1	5113.3641146568643	306.96896942484022
164243	474	A,F	2	-1	-1	2309.2212522242462	27.026889169201933	3289.2657603874418	1460.5406444749126	-1	-1	-1	-1	4028.8807945765943	364.58128426696317	-1	-1	-1	-1	3618.3875473389626	995.278619778245	-1	-1	3789.494842271733	18.474880121731239	-1	-1	-1	-1	-1	-1	5115.1265002269938	467.22691042757867
164243	502	A,F	2	999.24857311243045	247.28900981357148	2308.6876247917162	597.83564431452407	3289.1868849600514	863.86946789478031	-1	-1	-1	-1	4028.5979711985919	720.5954088399302	-1	-1	-1	-1	3618.014520535371	695.22435552913055	-1	-1	3788.9771160640248	23.163495346349308	-1	-1	-1	-1	-1	-1	5114.7357872809425	248.8205189975757
164243	559	B,F (inconclusive: 1 conflicts)	2	-1	-1	-1	-1	3288.8742670577722	1152.4565750850659	1758.6264800430342	10.442947415804229	-1	-1	4026.758452658552	238.8736020412272	-1	-1	-1	-1	3615.7095331657788	561.83237114906728	-1	-1	3787.0959828939012	19.351946343575534	-1	-1	-1	-1	-1	-1	5111.3177280317423	299.84593863962004
164243	628	F	2	-1	-1	-1	-1	3289.6821610152037	1048.5284515298667	-1	-1	-1	-1	4029.4519010340673	496.53302843196326	-1	-1	-1	-1	3618.3391999053465	188.61430241854859	-1	-1	3791.510043774424	22.18948132097308	-1	-1	-1	-1	-1	-1	5115.3226413091461	569.01791374178686
164243	688	A,B,F (inconclusive: 1 conflicts)	2	-1	-1	2309.6314049578577	17.404374658091058	3289.9519968318095	737.69826195004759	1762.9224609823223	283.57221006196841	2286.7492699541267	200.59905894533472	4030.4662361901796	489.79996714689582	-1	-1	-1	-1	3619.0135796857699	394.6705070588564	-1	-1	3790.0870371373953	22.748071380761367	-1	-1	-1	-1	-1	-1	5116.442979054973	199.56388534571045
164243	787	A,B,F	2	-1	-1	2308.473309315611	59.521133100054627	3288.741771666615	895.63123256129086	1761.9650574470527	132.09816090191151	2285.9380182470391	206.14718410858495	4028.3821072182805	374.95919025085584	-1	-1	-1	-1	3616.9878596140534	335.79159298487485	-1	-1	3788.5448148129199	21.369828932336286	-1	-1	-1	-1	-1	-1	5113.7148178979105	211.40332127513594
164243	980	F	2	-1	-1	-1	-1	3289.839341402816	514.99173412552807	-1	-1	-1	-1	4030.0527807299463	347.11366444155124	-1	-1	-1	-1	3618.547714870464	548.01194900894075	-1	-1	3789.3774313307886	16.28408841181194	-1	-1	-1	-1	-1	-1	5115.5076062674743	234.73146094059643
164243	NC	F	2	-1	-1	-1	-1	3290.5107011240084	903.21754359135969	-1	-1	-1	-1	4029.8839103025098	761.41476321646894	-1	-1	-1	-1	3619.1161961592102	991.25601158936536	-1	-1	3789.9985267465545	22.195368668692129	-1	-1	-1	-1	-1	-1	5116.0340979629736	414.43606982316459
164243	PC	A,B,E,F (inconclusive: 4 conflicts)	4	999.15278724838356	234.7843378868763	2309.2307492135692	307.88691005241799	3289.6201831647218	358.81977677935299	1762.1536992827093	214.56652264522916	2286.6520362779033	363.51390082052393	4029.5977729527922	456.09800463462363	-1	-1	2497.6692181342728	17.090092800305396	3618.7824673320238	351.32929838022648	1347.4112593136356	103.45794685465287	3790.2585443883495	20.692586614191796	-1	-1	-1	-1	-1	-1	5116.3350050496019	464.58049351906163
